<phenotype>
taxa	data
taxa	ADB
28981 0
18558 0
2774 1
14110 0
22700 0
21473 0
11998 1
16713 1
18825 1
4468 0
18823 0
26475 1
3298 0
6204 1
9086 1
14279 0
27435 1
3892 1
16016 1
26112 0
2821 0
28008 1
14774 0
25457 0
833 0
18818 1
12433 1
7659 0
22247 1
25398 1
18765 1
3345 0
20387 1
5361 0
18359 1
6830 1
26952 1
5856 0
16101 1
3651 0
5577 1
15860 0
21198 0
25954 0
18274 1
3586 1
13793 1
13223 1
6031 1
26654 0
3243 1
3809 0
12708 0
4593 0
3462 0
616 1
17602 1
6134 0
487 0
17159 0
27932 1
1873 0
8045 0
3747 1
17849 1
13824 0
12406 0
7215 1
26814 1
13822 1
16551 1
23994 0
27581 0
17439 1
25503 0
15779 0
16365 1
9272 1
425 0
29357 1
8873 1
16627 0
23237 0
2885 0
15621 1
17510 0
13079 1
18353 1
28851 0
19475 1
6918 0
23765 1
9617 1
22902 0
27302 0
11187 0
18768 1
29636 0
17398 1
27239 1
10930 1
13965 1
11610 0
15266 0
22848 0
4895 0
8955 1
27112 1
2348 0
393 0
9374 1
15825 1
5520 0
14238 1
24413 0
25614 1
19640 0
16151 1
19299 1
16825 0
2324 1
14785 0
17184 1
6052 0
12074 0
16529 1
4481 0
13723 1
14138 1
20153 1
19196 0
22304 0
11375 1
19202 0
27957 0
19319 0
12475 1
26503 1
20210 0
16409 0
16735 1
22759 0
27214 0
7588 0
26497 1
29163 0
13595 1
1072 0
20854 1
13886 1
22961 0
6909 1
20566 0
14621 0
12782 0
2755 0
13409 1
20555 0
21447 0
13525 1
16290 1
21038 0
27378 1
20037 0
20441 1
29607 1
16646 0
13951 0
3762 0
14799 0
29632 1
859 1
16374 0
19544 0
2876 0
4489 0
8109 1
29611 0
28153 1
18202 1
23590 0
27463 1
7978 0
26855 0
16200 1
20798 0
10799 1
2664 0
8799 1
594 0
14000 1
17463 1
6208 0
27050 1
11969 1
1594 1
14704 0
17516 1
19254 0
4497 0
25484 1
3588 1
13374 0
6071 0
26470 1
18868 0
4214 0
26530 1
13199 0
249 1
20463 1
775 0
17605 1
24761 1
386 0
25070 1
8251 0
16749 1
11609 1
21665 0
1455 0
22159 0
3419 1
29405 1
1690 0
2713 0
7268 1
16202 0
9806 1
20237 0
11325 1
23010 1
13097 0
2033 0
8047 0
26679 1
6279 1
12951 1
4899 0
27812 0
18393 1
17335 1
5956 1
27555 0
26498 0
13968 0
13996 1
15457 0
13129 0
27033 1
19158 1
4992 0
1026 0
6451 0
14063 1
4818 0
29225 0
18350 1
28413 1
7426 0
12044 0
13778 1
13121 0
10960 0
11258 1
15482 1
14099 1
21292 0
2740 1
8069 1
23906 0
22762 0
3819 0
5115 1
14144 1
15425 0
421 0
2847 0
7008 0
2146 1
13981 1
5522 0
10676 1
7441 1
8254 0
13851 1
13652 1
22654 0
21549 0
11281 0
2234 0
18157 1
9220 1
7245 1
14317 1
9319 1
15037 1
12684 1
10239 0
17296 0
10163 0
27026 1
14068 1
28846 0
26224 1
18753 0
27852 1
17185 0
24972 1
315 0
26974 1
26961 1
27122 1
5188 0
19396 1
18191 1
19283 1
8147 1
6748 0
6180 0
15895 1
13650 0
2356 1
18708 0
26878 1
27974 1
26623 0
26062 0
18847 1
19811 1
17944 1
6109 0
9006 1
26911 1
13312 1
19765 0
18781 1
1835 0
23035 0
12204 1
17694 0
1630 0
20672 1
11919 1
9363 0
10876 1
13680 1
658 0
17353 1
16306 1
7701 1
11557 1
13837 0
21034 0
7559 0
5473 1
15021 1
13701 0
12530 1
18502 0
27400 1
24433 1
24088 0
17059 1
18763 1
24486 0
18364 0
20710 0
27058 1
14917 1
20417 1
9628 1
14049 1
7452 0
13861 1
10829 1
4759 1
11910 0
544 0
14114 0
21640 0
9026 1
18402 1
23348 0
9247 0
27210 1
22656 0
18653 1
16861 0
26441 1
1215 0
11030 1
26109 1
13783 0
2526 0
3071 1
7380 1
13936 1
20911 1
27232 1
15176 0
27070 0
2638 1
27490 1
14159 1
15820 0
14070 0
10782 1
17597 0
7350 0
10899 1
15445 0
21018 0
19321 1
14378 0
19817 0
8662 1
14004 0
23631 0
11989 1
7814 0
21798 1
9049 0
1210 0
13414 1
17393 1
10344 1
1224 0
28407 0
17124 1
15945 1
1665 0
11869 1
16822 1
13457 0
9510 1
5977 1
17137 0
9702 0
16869 1
8460 0
11734 0
13784 1
21103 1
26601 0
28458 0
755 0
26186 1
26946 1
16512 0
26704 1
6077 1
13852 1
19931 0
17392 0
11811 1
21056 1
6960 1
2422 0
16763 1
27248 1
18192 1
400 0
12537 1
10360 0
11107 1
13009 0
16269 0
9273 1
20114 0
14015 1
15529 1
29118 0
18378 0
17928 0
22089 0
26380 1
11185 1
13919 0
24490 1
29623 0
16942 0
5235 0
25950 1
26574 1
20584 0
7958 0
18208 1
11955 0
13927 1
11605 1
30273 1
28226 0
30002 0
10957 0
29777 0
30622 1
8508 1
32275 1
17300 1
21829 0
18363 0
19402 0
26953 1
9350 1
26044 1
2061 0
11330 0
10445 1
16238 1
15647 0
17506 1
17183 1
8287 1
33198 1
26922 1
11953 0
849 0
4310 1
31570 0
31343 1
31049 0
13969 1
16808 1
15315 0
14374 0
22309 1
25227 1
8212 0
24652 0
8889 1
21175 1
12067 1
23190 0
25785 0
17902 1
7624 0
13731 1
21213 0
13581 0
32284 0
29937 1
30973 1
33393 0
30221 1
33102 0
31212 0
31111 1
10466 0
18621 1
16219 1
24464 0
17715 1
17952 1
14057 0
3693 0
22229 1
20715 1
30551 0
31141 0
31678 1
32342 0
31378 1
30789 0
30255 1
30236 1
33242 1
32064 1
30814 0
13493 0
15199 1
19077 0
19784 1
11113 1
1042 0
3388 0
13806 1
19334 1
23586 0
29325 1
29761 1
31743 0
33160 1
30464 1
32823 0
31709 1
32759 1
31778 0
30203 1
31429 1
2870 0
8455 0
17865 1
5116 1
8459 0
13960 1
18255 1
27630 0
11045 0
26897 1
31151 1
31201 1
32368 1
30010 1
33531 0
32403 0
30610 1
