Taxa	Mother	Y_Northing	X_Easting	Field_test	Tolerance	Flush_1st	Flush_2nd	Altitude	AnnMeanT	AnnPrec	PrecWettestM	MaxTWarmestM	TAnnRange	flushClass
1	10473	1-1	48.010029	13.683305	R2	5	2	4	457	8.28750038146973	1241	157	23	27.5	green
2	13980	1-1	48.010029	13.683305	R2	4	1	4	457	8.28750038146973	1241	157	23	27.5	yellow
3	26478	4-1	47.930077	13.78831	R2	3	1	3	480	8.38333320617676	1281	163	23	27.3000001907349	green
4	29560	4-1	47.930077	13.78831	R2	4	1	3	480	8.38333320617676	1281	163	23	27.3000001907349	yellow
5	11735	6-1	47.911827	13.788056	R2	4	2	3	423	8.5625	1275	163	22.8999996185303	26.7999997138977	yellow
6	18558	6-1	47.911827	13.788056	R2	1	1	3	423	8.5625	1275	163	22.8999996185303	26.7999997138977	green
7	4843	11-1	47.964683	16.805009	R1	4	4	6	160	10.1416664123535	587	69	25.7000007629395	29.1000008583069	yellow
8	14110	11-1	47.964683	16.805009	R2	1	1	2	160	10.1416664123535	587	69	25.7000007629395	29.1000008583069	green
9	20388	11-2	47.964683	16.805009	R2	4	2	4	160	10.1416664123535	587	69	25.7000007629395	29.1000008583069	yellow
10	27682	11-2	47.964683	16.805009	R2	2	2	3	160	10.1416664123535	587	69	25.7000007629395	29.1000008583069	green
11	21473	12-1	47.817518	16.912336	R2	1	2	3	121	10.4208335876465	569	68	26.7999992370605	30.2999992370605	green
12	16713	12-1	47.817518	16.912336	R2	6	1	1	121	10.4208335876465	569	68	26.7999992370605	30.2999992370605	orange
13	16575	13-1	48.369667	14.55575	R2	3	1	2	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
14	22247	13-1	48.369667	14.55575	R2	6	1	3	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
15	5254	13-2	48.369667	14.55575	R1	4	2	6	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	yellow
16	18765	13-2	48.369667	14.55575	R2	6	1	3	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
17	20387	13-3	48.369667	14.55575	R2	6	1	1	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	yellow
18	27760	13-3	48.369667	14.55575	R2	2	1	4	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
19	6830	13-4	48.369667	14.55575	R2	6	1	1	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
20	16224	13-4	48.369667	14.55575	R2	2	1	3	498	7.73750019073486	806	112	23.1000003814697	28.8000001907348	green
21	5856	20-1	48.141861	16.0525	R1	1	2	6	458	8.55416679382324	670	84	23.1000003814697	27.1000003814697	green
22	26211	20-1	48.141861	16.0525	R2	3	1	3	458	8.55416679382324	670	84	23.1000003814697	27.1000003814697	yellow
23	3651	22-1	46.76243	15.5747	R1	1	3	6	263	9.35833358764648	955	123	25.2999992370605	30.5999994277954	green
24	5577	22-1	46.76243	15.5747	R1	6	3	6	263	9.35833358764648	955	123	25.2999992370605	30.5999994277954	green
25	6134	22-2	46.76243	15.5747	R1	1	4	6	263	9.35833358764648	955	123	25.2999992370605	30.5999994277954	green
26	764	22-2	46.76243	15.5747	R1	3	4	6	263	9.35833358764648	955	123	25.2999992370605	30.5999994277954	yellow
27	4996	23-1	46.74476	15.57556	R1	4	4	6	258	9.38333320617676	958	122	25.2000007629395	30.4000005722046	yellow
28	17159	23-1	46.74476	15.57556	R2	1	1	3	258	9.38333320617676	958	122	25.2000007629395	30.4000005722046	green
29	1873	23-ABD	48.33699	14.04711	R1	1	3	6	258	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
30	3747	23-ABD	48.33699	14.04711	R1	6	2	6	258	9.04583358764648	845	108	23.8999996185303	27.599999666214	yellow
31	13824	24-1	46.73851	15.58968	R2	1	1	5	257	9.39583301544189	964	123	25.2000007629395	30.3000006675721	green
32	7215	24-1	46.73851	15.58968	R2	6	1	4	257	9.39583301544189	964	123	25.2000007629395	30.3000006675721	green
33	13822	25-2	46.74242	15.59302	R2	6	1	1	259	9.38749980926514	957	122	25.2000007629395	30.3000006675721	orange
34	23994	25-2	46.74242	15.59302	R2	1	2	3	259	9.38749980926514	957	122	25.2000007629395	30.3000006675721	green
35	17439	26-1	46.73279	15.60137	R2	6	1	1	254	9.42916679382324	964	123	25.2000007629395	30.3000006675721	yellow
36	25503	26-1	46.73279	15.60137	R2	1	2	4	254	9.42916679382324	964	123	25.2000007629395	30.3000006675721	green
37	9617	26-2	46.73279	15.60137	R2	6	2	2	254	9.42916679382324	964	123	25.2000007629395	30.3000006675721	yellow
38	22902	26-2	46.73279	15.60137	R2	1	2	4	254	9.42916679382324	964	123	25.2000007629395	30.3000006675721	green
39	6140	27-1	46.67759	16.03444	R1	4	4	6	204	9.60416698455811	823	106	25.6000003814697	30.3000001907348	green
40	11187	27-1	46.67759	16.03444	R2	1	2	5	204	9.60416698455811	823	106	25.6000003814697	30.3000001907348	green
41	16610	28-1	46.694667	16.019917	R2	6	1	2	205	9.60416698455811	817	107	25.6000003814697	30.4000005722046	yellow
42	29636	28-1	46.694667	16.019917	R2	1	2	3	205	9.60416698455811	817	107	25.6000003814697	30.4000005722046	yellow
43	14895	28-2	46.694667	16.019917	R2	2	1	3	205	9.60416698455811	817	107	25.6000003814697	30.4000005722046	green
44	17398	28-2	46.694667	16.019917	R2	6	2	3	205	9.60416698455811	817	107	25.6000003814697	30.4000005722046	yellow
45	10930	29-1	46.97752	15.99647	R2	6	2	5	318	9.13749980926514	790	107	24.7999992370605	29.9999990463256	yellow
46	11610	29-1	46.97752	15.99647	R2	1	2	4	318	9.13749980926514	790	107	24.7999992370605	29.9999990463256	green
47	15266	30-1	46.98908	15.96107	R2	1	2	4	296	9	806	110	24.7000007629395	30.0000009536744	green
48	24669	30-1	46.98908	15.96107	R2	2	2	3	296	9	806	110	24.7000007629395	30.0000009536744	yellow
49	3005	31-1	46.99284	15.96121	R1	4	2	6	286	9.19166660308838	790	108	24.8999996185303	30.0999994277954	yellow
50	12074	31-1	46.99284	15.96121	R2	1	2	4	286	9.19166660308838	790	108	24.8999996185303	30.0999994277954	green
51	8794	31-2	46.99284	15.96121	R2	4	1	4	286	9.19166660308838	790	108	24.8999996185303	30.0999994277954	green
52	16187	31-2	46.99284	15.96121	R2	4	1	3	286	9.19166660308838	790	108	24.8999996185303	30.0999994277954	yellow
53	4481	32-1	47.5987	16.00989	R1	1	3	6	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	green
54	13723	32-1	47.5987	16.00989	R2	6	1	1	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	orange
55	14138	32-2	47.59837	16.01014	R2	6	1	1	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	orange
56	19196	32-2	47.59837	16.01014	R2	1	2	4	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	green
57	11375	32-3	47.59856	16.01009	R2	6	1	3	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	yellow
58	27280	32-3	47.59856	16.01009	R2	2	1	4	591	7.92500019073486	885	115	22.7999992370605	28.0999994277954	yellow
59	25924	33-1	48.282027	15.773015	R2	4	1	4	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	yellow
60	11441	33-1	48.282027	15.773015	R2	5	2	4	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	green
61	17337	33-2	48.282027	15.773015	R2	4	3	4	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	yellow
62	22961	33-2	48.282027	15.773015	R2	1	2	4	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	green
63	6909	33-3	48.282027	15.773015	R2	6	1	1	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	orange
64	14621	33-3	48.282027	15.773015	R2	1	1	4	300	9.17500019073486	592	80	24.6000003814697	28.8000001907348	green
65	424	34-ABCD	48.33699	14.04711	R1	5	2	6	711	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
66	2755	34-ABCD	48.33699	14.04711	R1	1	3	6	711	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
67	20891	35-2	47.54427	13.91812	R2	4	2	2	779	6.36666679382324	1123	156	21.6000003814697	29.3000001907348	yellow
68	24873	35-2	47.54427	13.91812	R2	2	1	3	779	6.36666679382324	1123	156	21.6000003814697	29.3000001907348	green
69	21447	36-1	48.163444	13.279556	R2	1	1	4	459	8.20833301544189	1031	130	22.7999992370605	27.0999994277954	green
70	16290	36-1	48.163444	13.279556	R2	6	1	4	459	8.20833301544189	1031	130	22.7999992370605	27.0999994277954	green
71	2355	39-1	47.25225	16.33564	R1	1	3	6	284	9.30000019073486	718	96	25.1000003814697	29.8000001907348	green
72	27378	39-1	47.25225	16.33564	R2	6	1	3	284	9.30000019073486	718	96	25.1000003814697	29.8000001907348	green
73	2565	39-3	47.26208	16.35408	R1	4	4	6	284	9.16250038146973	728	98	24.7999992370605	29.4999990463256	green
74	7978	39-3	47.26208	16.35408	R2	1	2	3	284	9.16250038146973	728	98	24.7999992370605	29.4999990463256	green
75	13791	43-C+D	48.33699	14.04711	R2	5	1	3	347	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
76	20798	43-C+D	48.33699	14.04711	R2	1	1	2	347	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
77	10799	45-1	47.9188	16.09262	R2	6	2	4	375	9.08333301544189	658	84	24.1000003814697	28.1000003814697	yellow
78	20706	45-1	47.9188	16.09262	R2	3	1	2	375	9.08333301544189	658	84	24.1000003814697	28.1000003814697	green
79	8079	45-2	47.91927	16.09202	R2	3	2	4	375	9.08333301544189	658	84	24.1000003814697	28.1000003814697	green
80	25772	45-2	47.91927	16.09202	R2	4	1	2	375	9.08333301544189	658	84	24.1000003814697	28.1000003814697	yellow
81	17463	47-1	47.78438	16.08329	R2	6	1	1	361	9.34583377838135	683	88	24.8999996185303	29.1999998092652	yellow
82	22288	47-1	47.78438	16.08329	R2	3	3	2	361	9.34583377838135	683	88	24.8999996185303	29.1999998092652	green
83	11969	49-1	47.7891	16.20378	R2	6	2	4	250	9.69166660308838	614	81	25.3999996185303	29.3999996185303	yellow
84	19148	49-1	47.7891	16.20378	R2	2	2	4	250	9.69166660308838	614	81	25.3999996185303	29.3999996185303	green
85	29269	49-2	47.7891	16.20378	R2	3	1	3	250	9.69166660308838	614	81	25.3999996185303	29.3999996185303	green
86	386	49-3	47.7891	16.20378	R1	1	2	6	250	9.69166660308838	614	81	25.3999996185303	29.3999996185303	green
87	25070	49-3	47.7891	16.20378	R2	6	1	1	250	9.69166660308838	614	81	25.3999996185303	29.3999996185303	orange
88	18379	50-1	47.05727	15.545783	R2	3	1	4	400	8.86250019073486	853	124	24.2000007629395	29.5000009536744	green
89	16749	50-2	47.05727	15.545783	R2	6	1	1	400	8.86250019073486	853	124	24.2000007629395	29.5000009536744	orange
90	21665	50-2	47.05727	15.545783	R2	1	1	5	400	8.86250019073486	853	124	24.2000007629395	29.5000009536744	green
91	3472	53-1	47.625056	15.805806	R1	4	2	6	872	6.07083320617676	1092	143	19.8999996185303	25.8999996185303	yellow
92	22159	53-1	47.625056	15.805806	R2	1	2	3	872	6.07083320617676	1092	143	19.8999996185303	25.8999996185303	green
93	16192	56-1	48.402177	15.507808	R2	2	2	3	196	9.18333339691162	537	84	24.3999996185303	28.1999995708466	green
94	32806	930-28	48.33699	14.04711	R3	2	1	3	263.7504	9.04583358764648	845	108	23.8999996185303	27.599999666214	green
95	4012	58-1	48.65258	16.45237	R1	4	1	6	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	yellow
96	10926	58-1	48.65258	16.45237	R2	2	2	5	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	green
97	13712	58-2	48.65258	16.45237	R2	4	3	4	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	yellow
98	28981	58-2	48.65258	16.45237	R2	1	2	4	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	green
99	26865	58-3	48.65258	16.45237	R2	6	1	2	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	yellow
100	13768	58-3	48.65258	16.45237	R2	4	1	2	286	9.55000019073486	572	77	25.2000007629395	28.8000006675721	green
101	2774	67-1	47.99424	16.08128	R1	6	2	6	443	8.50416660308838	714	89	23.2999992370605	27.5999994277954	green
102	22700	67-1	47.99424	16.08128	R2	1	1	2	443	8.50416660308838	714	89	23.2999992370605	27.5999994277954	green
103	18797	67-2	47.99446	16.07935	R2	3	2	3	443	8.50416660308838	714	89	23.2999992370605	27.5999994277954	yellow
104	12437	67-2	47.99446	16.07935	R2	4	1	3	443	8.50416660308838	714	89	23.2999992370605	27.5999994277954	yellow
105	11998	70-2	48.175953	15.754406	R2	6	2	4	247	9.40416622161865	599	80	25	29.0999999046326	green
106	18825	70-2	48.175953	15.754406	R2	6	1	5	247	9.40416622161865	599	80	25	29.0999999046326	green
